127.0.0.1 - - [24/Feb/2018:16:34:22 +0800] "GET / HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:34:29 +0800] "GET /WebDemo4/ HTTP/1.1" 200 4929
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:34:29 +0800] "GET /WebDemo4/css/index.css HTTP/1.1" 200 949
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:34:29 +0800] "GET /WebDemo4/css/bootstrap-theme.min.css HTTP/1.1" 200 23357
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:34:29 +0800] "GET /WebDemo4/js/bootstrap.min.js HTTP/1.1" 200 36816
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:34:29 +0800] "GET /WebDemo4/css/bootstrap.min.css HTTP/1.1" 200 122540
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:34:29 +0800] "GET /WebDemo4/js/jquery-3.3.1.min.js HTTP/1.1" 200 86927
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:34:29 +0800] "GET /WebDemo4/img/logo.png HTTP/1.1" 200 36739
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:34:29 +0800] "GET /WebDemo4/img/header.png HTTP/1.1" 200 12567
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:34:29 +0800] "GET /WebDemo4/img/lunbo1.jpg HTTP/1.1" 200 415255
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:34:29 +0800] "GET /WebDemo4/img/footer.jpg HTTP/1.1" 200 24121
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:34:29 +0800] "GET /WebDemo4/img/ad.jpg HTTP/1.1" 200 39033
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:34:29 +0800] "GET /WebDemo4/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:34:29 +0800] "GET /WebDemo4/img/lunbo3.jpg HTTP/1.1" 200 566211
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:34:29 +0800] "GET /WebDemo4/img/lunbo2.jpg HTTP/1.1" 200 690927
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:34:30 +0800] "GET /favicon.ico HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:35:27 +0800] "GET /WebDemo4/ HTTP/1.1" 200 4929
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:35:27 +0800] "GET /WebDemo4/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:35:27 +0800] "GET /WebDemo4/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:35:27 +0800] "GET /WebDemo4/css/bootstrap-theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:35:27 +0800] "GET /WebDemo4/js/jquery-3.3.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:35:27 +0800] "GET /WebDemo4/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:35:27 +0800] "GET /WebDemo4/img/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:35:27 +0800] "GET /WebDemo4/img/header.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:35:27 +0800] "GET /WebDemo4/img/lunbo1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:35:27 +0800] "GET /WebDemo4/img/lunbo2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:35:27 +0800] "GET /WebDemo4/img/ad.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:35:27 +0800] "GET /WebDemo4/img/footer.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:35:27 +0800] "GET /WebDemo4/img/lunbo3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Feb/2018:16:35:27 +0800] "GET /WebDemo4/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
